lon,lat,geometry,index_right,OBJECTID,GP_RTP,GP_REX,GP_RAV,GP_RRG,GP_RCY,GP_RSE,GP_RSI,GP_RSY,Shape_Length,gp_gripreg,dist_meters
-6.25,28.75,POINT (-590978.4665367411 3505347.191511207),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,20651.99918451939
-6.25,29.0,POINT (-590978.4665367411 3533395.711036501),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,5469.667140304352
-6.25,29.25,POINT (-590978.4665367411 3561378.205842858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,31703.236233154872
-6.0,28.75,POINT (-566856.8964740171 3505347.191511207),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,29279.283782488907
-6.0,29.0,POINT (-566856.8964740171 3533395.711036501),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,4584.4269583050145
-6.0,29.25,POINT (-566856.8964740171 3561378.205842858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,16934.68329568667
-6.0,29.5,POINT (-566856.8964740171 3589294.144142208),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,40625.14803708193
-5.75,29.0,POINT (-542735.3264112929 3533395.711036501),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,19852.546611754013
-5.75,29.25,POINT (-542735.3264112929 3561378.205842858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,4196.597233797432
-5.75,29.5,POINT (-542735.3264112929 3589294.144142208),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,29448.219775690523
-5.5,29.0,POINT (-518613.75634856883 3533395.711036501),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,31278.103473295352
-5.5,29.25,POINT (-518613.75634856883 3561378.205842858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,4732.880630462714
-5.5,29.5,POINT (-518613.75634856883 3589294.144142208),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,22055.42812119376
-5.25,29.0,POINT (-494492.18628584465 3533395.711036501),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,38368.60490172013
-5.25,29.25,POINT (-494492.18628584465 3561378.205842858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,11468.08944057491
-5.25,29.5,POINT (-494492.18628584465 3589294.144142208),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,15357.314212711402
-5.25,29.75,POINT (-494492.18628584465 3617142.9952009427),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,42129.6101300067
-5.25,30.0,POINT (-494492.18628584465 3644924.229349858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,68836.23600355594
-5.25,30.25,POINT (-494492.18628584465 3672637.317994114),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,95635.3539226103
-5.0,29.25,POINT (-470370.6162231205 3561378.205842858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,18122.04599820386
-5.0,29.5,POINT (-470370.6162231205 3589294.144142208),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,8944.807102000523
-5.0,29.75,POINT (-470370.6162231205 3617142.9952009427),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,36315.56552576981
-5.0,30.0,POINT (-470370.6162231205 3644924.229349858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,63675.69730135407
-5.0,30.25,POINT (-470370.6162231205 3672637.317994114),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,86726.93139569697
-5.0,30.5,POINT (-470370.6162231205 3700281.733623195),,,,,,,,,,,,,
-4.75,29.25,POINT (-446249.0461603964 3561378.205842858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,22863.118652822515
-4.75,29.5,POINT (-446249.0461603964 3589294.144142208),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,3967.3762604683975
-4.75,29.75,POINT (-446249.0461603964 3617142.9952009427),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,28943.932159200904
-4.75,30.0,POINT (-446249.0461603964 3644924.229349858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,50107.3531929886
-4.75,30.25,POINT (-446249.0461603964 3672637.317994114),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,73567.21080636658
-4.75,30.5,POINT (-446249.0461603964 3700281.733623195),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,85135.32726341196
-4.5,30.25,POINT (-422127.47609767225 3672637.317994114),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,54337.94898600463
