lon,lat,cap_mid,annual_cf,t2m_mean,t2m_max,t2m_min
-6.25,18.5,35.484,0.263,27.83660854,44.89104697,6.344794031
-6.25,18.75,35.068,0.263,27.86577978,45.08850084,5.966171141
-6.25,19,35.015,0.263,27.78857202,45.23913575,5.839963511
-6.25,19.25,34.963,0.263,27.72860782,45.24117136,5.791108945
-6.25,19.5,34.437,0.263,27.72147138,45.25134939,6.450645592
-6.25,19.75,34.384,0.262,27.74731946,45.37755702,6.839446517
-6.25,20,34.329,0.262,27.81509678,45.52819194,6.988045823
-6.25,20.25,33.805,0.261,27.82299079,45.70936096,6.880158656
-6.25,20.5,33.75,0.26,27.8943726,46.00452396,6.273547789
-6.25,20.75,33.695,0.259,28.13813537,46.46253552,5.819607442
-6.25,21,33.172,0.257,28.45339536,46.63759772,6.031310563
-6.25,21.25,33.116,0.257,28.81327231,46.75769853,6.344794031
-6.25,21.5,33.059,0.255,28.97045852,47.11189413,6.063880274
-6.25,21.75,32.401,0.256,28.74693317,47.23199494,5.695435419
-6.25,22,32.468,0.256,28.55320406,47.10578731,5.459305014
-6.25,22.25,32.391,0.256,28.5012838,47.16685552,4.976866171
-6.25,22.5,31.898,0.256,28.44206465,47.2482798,4.643026633
-6.25,22.75,31.844,0.255,28.33294091,47.24420858,4.535139466
-6.25,23,31.692,0.255,28.17495195,47.14242824,4.437430333
-6.25,23.25,31.24,0.256,27.93212518,46.9266539,4.337685593
-6.25,23.5,31.208,0.256,27.73574589,46.77601899,4.643026633
-6.25,23.75,30.459,0.252,28.22562151,47.29102754,3.757537616
-6.25,24,29.829,0.251,28.46421554,47.63300951,3.403342009
-6.25,24.25,30.564,0.25,28.3920245,47.80196489,3.645579235
-6.25,24.5,30.056,0.251,27.83855192,47.65336558,3.334131373
-6.25,24.75,29.973,0.252,27.49886024,47.50680188,3.152962356
-6.25,25,29.876,0.252,27.28147207,47.22385252,3.214030564
-6.25,25.25,29.272,0.253,26.99162982,47.01214939,2.979935767
-6.25,25.5,29.36,0.253,26.7129111,46.90019101,2.521924206
-6.25,25.75,29.299,0.253,26.80840642,46.80044627,3.523442819
-6.25,26,28.78,0.252,26.8336536,47.00400697,3.720896691
-6.25,26.25,28.573,0.252,26.85074862,47.071182,3.826748252
-6.25,26.5,27.728,0.252,26.76364972,47.14853506,3.460339004
-6.25,26.75,27.25,0.251,26.78267444,47.35413136,3.0776449
-6.25,27,28.088,0.251,26.64991922,47.40909275,2.460855998
-6.25,27.25,27.581,0.252,26.25576394,47.09968049,1.998773224
-6.25,27.5,27.512,0.254,25.79408022,46.67016743,1.705645825
-6.25,27.75,27.395,0.255,25.56012585,46.4279302,1.459337386
-6.25,28,26.954,0.255,25.41519986,46.38314685,1.1112486
-6.25,28.25,26.891,0.253,25.53074651,46.58060072,1.003361432
-6.25,28.5,26.248,0.253,25.64344113,46.25286801,2.108695998
-6.25,28.75,26.254,0.252,25.69930886,45.84371101,2.253224091
-6.25,29,25.703,0.251,25.60286897,45.20453044,2.184013455
-6.25,29.25,25.626,0.25,25.63893911,45.05593113,2.161621778
-6.25,29.5,22.884,0.248,26.06959002,45.68289807,2.122945247
-6.25,29.75,0.009,0.247,26.29317099,46.01877321,3.059324437
-6.25,30,0,0.247,25.32175105,44.84015679,4.294937847
-6.25,30.25,0,0.248,23.27195952,42.6111672,2.782481894
-6.25,30.5,0,0.246,22.27052943,41.75214107,1.373841894
-6.25,30.75,0,0.246,21.28019947,40.26818362,0.093445132
-6,18.5,34.61,0.262,27.90225988,45.0762872,6.434360737
-6,18.75,35.068,0.262,27.90212987,45.2248865,5.945815072
-6,19,35.015,0.263,27.82797761,45.28799032,5.850141546
-6,19.25,34.963,0.262,27.78532001,45.33888049,6.122912875
-6,19.5,34.437,0.263,27.73928363,45.33073807,6.503571372
-6,19.75,34.384,0.262,27.74656329,45.38977067,6.662348713
-6,20,34.329,0.261,27.79062524,45.7236102,6.320366748
-6,20.25,33.805,0.261,27.79999937,45.91495726,6.426218309
-6,20.5,33.75,0.26,27.93524348,46.26508165,6.336651604
-6,20.75,33.695,0.258,28.23098722,46.57652951,5.947850679
-6,21,33.172,0.257,28.62888859,46.78823263,6.090343165
-6,21.25,33.116,0.256,29.02991799,47.00197136,6.27965461
-6,21.5,33.047,0.254,29.22633459,47.45184049,6.049631026
-6,21.75,32.521,0.255,28.98377223,47.44573367,5.901031719
-6,22,32.46,0.256,28.69962802,47.26456465,5.593655072
-6,22.25,32.355,0.256,28.58377292,47.1607487,5.131572298
-6,22.5,31.753,0.255,28.54151902,47.2788139,4.775341084
-6,22.75,31.833,0.255,28.4457864,47.32766847,4.549388714
-6,23,31.48,0.255,28.2919727,47.22792373,4.512747789
-6,23.25,31.159,0.255,28.09193191,47.05082593,4.508676575
-6,23.5,31.208,0.256,27.78326609,46.83098038,4.826231257
-6,23.75,30.649,0.255,27.85098061,46.81876674,4.429287905
-6,24,26.857,0.252,28.31197583,47.41927078,3.460339004
-6,24.25,29.877,0.25,28.46430245,47.86913991,4.201299928
-6,24.5,30.033,0.25,28.18191899,48.01366801,4.290866633
-6,24.75,29.988,0.25,27.78851825,47.82842778,3.989596807
-6,25,29.835,0.251,27.4091341,47.48848142,3.464410217
-6,25.25,29.283,0.252,27.12408911,47.25845783,2.701057616
-6,25.5,28.904,0.252,27.0682135,47.30120558,2.570778773
-6,25.75,29.299,0.252,27.25685985,47.28288512,3.670006518
-6,26,28.737,0.249,27.37226723,47.41112835,3.952955882
-6,26.25,28.672,0.249,27.23338062,47.40705714,3.922421778
-6,26.5,27.944,0.251,26.95780778,47.24013737,3.521407212
-6,26.75,27.236,0.251,26.82275115,47.17703356,3.089858541
-6,27,27.405,0.251,26.68455096,47.18110477,2.703093223
-6,27.25,27.21,0.253,26.27694013,46.88594176,2.131087674
-6,27.5,27.114,0.255,25.78555009,46.52767494,1.726001894
-6,27.75,27.395,0.256,25.50303501,46.22844072,1.471551027
-6,28,26.721,0.256,25.28174432,46.26304604,0.980969756
