lon,lat,cap_mid,annual_cf
-6.25,18.5,2.638,0.37
-6.25,18.75,2.634,0.364
-6.25,19,2.63,0.36
-6.25,19.25,2.626,0.351
-6.25,19.5,2.622,0.341
-6.25,19.75,2.618,0.333
-6.25,20,2.614,0.329
-6.25,20.25,2.61,0.326
-6.25,20.5,2.606,0.324
-6.25,20.75,2.602,0.325
-6.25,21,2.597,0.331
-6.25,21.25,2.593,0.338
-6.25,21.5,2.588,0.342
-6.25,21.75,2.584,0.35
-6.25,22,2.579,0.357
-6.25,22.25,2.575,0.354
-6.25,22.5,2.57,0.348
-6.25,22.75,2.566,0.346
-6.25,23,2.561,0.345
-6.25,23.25,2.556,0.346
-6.25,23.5,2.551,0.354
-6.25,23.75,2.546,0.348
-6.25,24,2.541,0.347
-6.25,24.25,2.536,0.36
-6.25,24.5,2.531,0.37
-6.25,24.75,2.526,0.382
-6.25,25,2.521,0.383
-6.25,25.25,2.516,0.377
-6.25,25.5,2.511,0.366
-6.25,25.75,2.506,0.357
-6.25,26,2.5,0.352
-6.25,26.25,2.495,0.357
-6.25,26.5,2.49,0.365
-6.25,26.75,2.484,0.363
-6.25,27,2.479,0.357
-6.25,27.25,2.473,0.35
-6.25,27.5,2.468,0.346
-6.25,27.75,2.457,0.34
-6.25,28,2.456,0.331
-6.25,28.25,2.451,0.324
-6.25,28.5,2.432,0.316
-6.25,28.75,2.438,0.315
-6.25,29,2.431,0.317
-6.25,29.25,2.427,0.299
-6.25,29.5,2.314,0.241
-6.25,29.75,0.001,0.165
-6.25,30,0,0.122
-6.25,30.25,0,0.128
-6.25,30.5,0,0.088
-6.25,30.75,0,0.059
-6,18.5,2.638,0.364
-6,18.75,2.634,0.36
-6,19,2.63,0.357
-6,19.25,2.626,0.35
-6,19.5,2.622,0.342
-6,19.75,2.618,0.335
-6,20,2.614,0.328
-6,20.25,2.61,0.322
-6,20.5,2.606,0.321
-6,20.75,2.602,0.324
-6,21,2.597,0.331
-6,21.25,2.593,0.334
-6,21.5,2.588,0.336
-6,21.75,2.584,0.352
-6,22,2.579,0.361
-6,22.25,2.575,0.357
-6,22.5,2.57,0.348
-6,22.75,2.566,0.344
-6,23,2.561,0.346
-6,23.25,2.556,0.349
-6,23.5,2.551,0.357
-6,23.75,2.546,0.357
-6,24,2.541,0.349
-6,24.25,2.536,0.353
-6,24.5,2.531,0.367
-6,24.75,2.526,0.39
-6,25,2.521,0.396
-6,25.25,2.516,0.379
-6,25.5,2.511,0.357
-6,25.75,2.506,0.35
-6,26,2.5,0.358
-6,26.25,2.495,0.363
-6,26.5,2.49,0.367
-6,26.75,2.484,0.368
-6,27,2.479,0.365
-6,27.25,2.473,0.358
-6,27.5,2.468,0.351
-6,27.75,2.462,0.346
-6,28,2.456,0.338
-6,28.25,2.451,0.324
-6,28.5,2.442,0.316
-6,28.75,2.439,0.312
-6,29,2.432,0.322
-6,29.25,2.427,0.313
-6,29.5,2.409,0.268
-6,29.75,0.195,0.189
-6,30,0,0.13
-6,30.25,0,0.105
-6,30.5,0,0.066
-6,30.75,0,0.06
